utterances,labels
yes for 7 people starting Tuesday for 5 nights,default
"Thank you for your assistance, you've been very helpful.",default
I'm looking for an expensive restaurant in the north area,default
Do any of them specialize in chinese?,default
Lets try Hakka. It will be just myself at 16:45 on tuesday.,default
"Great, thank you. Can you help me with train schedules too? I need to get to Cambridge from Bishops Stortford.",default
I will be traveling on Tuesday and it should arrive in Cambridge by 12:45.,default
"No, any will be fine. I only need a ticket for myself.",default
No thank you. Appreciate your help.,default
"Can you let me know about 4 star places in cambridge? I want a personal touch, so a guesthouse who be perfect.",default
Moderately priced will work. Also it should include free parking.,default
"Sounds good, could you book me a room for 1 person for 4 nights starting Saturday?",default
"No, that's all I need. Thanks for you assistance!",default
"I'm sorry, I forgot. I am also looking for museums to see.",default
"Actually, I am not really familiar with the area. Would you mind suggesting one to visit? Anywhere in town is fine.",default
"Perfect, could I have the entrance fee and postcode?",default
No that will be all thank you so much.,default
"Yes, can you help me with my hotel plans?",default
I want to stay in Cambridge and I need a cheap hotel.,default
I prefer a hotel. Preferably one with free parking.,default
I would like to be in the center.,default
"After rethinking some things, I actually would like an expensive hotel in the centre. I'd still like free parking as well. Are any available?",default
Either is fine.,default
Do they have internet and what is there address?,default
"No, don't worry about booking the room, just please give me the address for the hotel.",default
I also need a train. It should leave Monday from Broxbourne and arrive in Cambridge by 10:45,default
Yes please book that for 8 people.,default
Thank you for your assistance.,default
"I need to book a train ticket going to Cambridge any day but has to arrive by 18:30, can you assist me with that?",default
I will be leaving london kings cross on sunday.,default
"Actually, I decided not to book it just now. However, what's the travel time for that route?",default
Thank you. Can you assist me with finding a hotel as well?,default
I'd like a hotel in the moderate price range with free wifi.,default
What have you got with 0 stars?,default
"Yes, for one person. I'd like it for 4 nights starting sunday. Please provide a reference number.",default
Thank you! I think that's everything. You've been a big help.,default
"I am hearing some good things about queens college, can you give me some basic info on them?",default
"Yes, I'd like to know the entrance fee, please?",default
No thanks. I also need a train leaving Cambridge on Tuesday.,default
I'd like to go to Leicester please.,default
I would like to leave after 09:45. Can you book the first one available after that and give me the reference number?,default
Just myself will be travelling.,default
Thank you that is all I need today.,default
Thank you very much.,default
Can you help me find a train that will arrive in birmingham new street by 16:15?,default
I would like to leave Friday from Cambridge.,default
"Yes, I would like to book for 3 people.",default
Yes I also need information on queens' college.,default
"No, that's great. Thank you. Good-bye.",default
I need a taxi to pick me up at Regency Gallery and take me to Don Pasquale Pizzeria.,default
I would like to arrive by 20:00.,default
"No, that's all. Thanks, good bye.",default
Hi there. Can you help me pick out a restaurant?,default
I would like to dine in a cheap chinese food restaurant that is located in the south. Can you help me find one?,default
"No, can you please give the address and phone number for the Lucky Star. Thanks so much.",default
I am also looking for place to visit in the same area as the restaurant.,default
"Can you make a suggestion and provide the type, phone, and address?",default
Great! Thanks! That's all I need for now.,default
Are there any Catalan restaurants in the centre of town?,default
"Actually, can you try anything that serves French food?",default
"Yes, please. I need a table for 8 on Friday at 17:30, please.",default
Can I have the reference number for the reservation please?,default
What about 16:30?,default
"If 16:30 is available, I'll need the reference number, too, please.",default
"Great thanks. I also need a train, one leaving peterborough and arriving at Cambridge by 11:15?",default
"I would like it for Friday, please. Can you please provide a reference number as well?",default
"Thank you, I won't be needing anything else.",default
Do you have information on all restaurants? I'm looking for a certain one.,default
i want to book a table for 4 people at 16:15 on Tuesday in a restaurant called little seoul. please provide me with the reference number,default
Yes. I am looking for a 3-star guesthouse.,default
Yes it must have Wifi and be moderately priced,default
"Yes, please. For the same number of people, 2 nights, and the same day. I will also need a reference number.",default
"Thank you. I will need a taxi to get from one place to the other, please.",default
"Yes, just as long as I'm at the restaurant in time for the reservations.",default
That is all for now. Thank you,default
You are welcome for using your services. Goodbye now.,default
I'm looking for a train to leave from stantsted airport on monday.,default
Yes. Is there one that leaves after 11:15?,default
"Nope, what is the travel time on the one that leaves closest to 11:15?",default
"I don't want to book yet, I need to first make sure that I can stay at a hotel called ""Acorn Guest House"".",default
Yes please book it for 5 people and 4 nights starting from the same day.,default
Thank you so much. That was all I needed.,default
Can you help me find an Afghan restaurant on the west side of town?,default
Try a different cuisine. Just an expensive restaurant.,default
Indian food please. What are the options?,default
"No, I'll have to discuss it with my wife. Can you just get me the postcode for Maharajah Tandoori please?",default
No that's all I needed. Thank you!,default
Are there any Portuguese restaurants in Cambridge?,default
If one of them has a moderate price range please give me that address. If not tell me about Turkish restaurants instead.,default
Actually I need a moderately priced restaurant. Are there any fitting that description?,default
"Yes, I need a reservation for 1 people at 14:00 on monday.",default
Thanks so much. That's all for today. Bye!,default
"Hello! I need a train departing Cambridge after 18:30, please.",default
I would like to leave on Friday and go to Birmingham New Street.,default
"Yes. I'd like 3 tickets on the 19:01 train, please. And can I have the reference number?",default
Yes. I would like to know about places to go in the west area of town.,default
I would like to go to a concerthall.,default
I suppose a museum would do as well. Any recommendations for museums west of town?,default
"Any of them would be fine. Can you just give me the name, address with postcode and the phone number? Thanks.",default
"No, that's all I need. Thank you.",default
Hello I'll be coming to Cambridge and need a room to stay in. Can you recommend a guesthouse that has free parking?,default
I don't have a price range in mind. But I would like a 4 star rating and somewhere that offers free parking.,default
"No I don't care which area it is in, just so it is a guesthouse with free parking and 4 stars.",default
Can you book it for me?,default
I need to book it on friday for 2 nights for 8 people. Could i please have the reference number?,default
"Yes, please. I need to go to Birmingham New Street on Saturday, and I'd like to get there at or shortly before 18:15.",default
"That should work, yes please get me 8 tickets.",default
"No, that's all I need today. Thanks for the help!",default
I'd really like to get some Middle Eastern food. Can you find a cheap place for me to grab some dinner?,default
"Okay, thank you. goodbye",default
Are there any that serve Italian food?,default
In the centre of town.,default
Book one for 8 people at 18:45 on wednesday.,default
"We will also need lodging, preferably a 4 star guesthouse",default
"It should be in the same price range as the restaurant, please.",default
Do they have rooms available for the same day as dinner?,default
"Yes, it would be for the same group of people, and we will be staying 4 nights.",default
Starting on Wednesday please.,default
I will need a hotel between the two.,default
"I'm sorry, I don't want a second hotel. I need a taxi between the B&B and the restaurant that arrives to the restaurant by the booked time.",default
No that is all I needed. Thank you.,default
I travelling to Cambridge and am looking for a train to the London Kings Cross station leaving on Thursday.,default
I want to depart from Cambridge after 19:45 and arrive at london kings cross.,default
I would like to book 4. Can you tell me the price for each ticket before I book them?,default
I would actually like to book 5 people and would like to know the reference number for the tickets and the address of La Tasca restaurant.,default
Yes please. Can I book a table for five people?,default
"I would like to book it for 5 people at 15:30 on the same day as the train, Thursday. Can I also get the reference number for that as well?",default
Thank you very much!,default
"That's all, thank you.",default
I need to find a swimming pool in the south area of Cambridge.,default
Is there a type of cinema?,default
Yes please give me their phone number and tell me what their entrance fee is please.,default
"No, I don't need the address. You can however help me find a train that leaves for Kings Lynn after 09:45",default
Sunday please thanks for your help.,default
"Yes, I need to book tickets for 7 people please.",default
"No that's everything, thank you so much!",default
I need a train from london liverpool street.,default
"Cambridge, on Wednesday.",default
No. I just need to leave after 14:00.,default
"Not right now, thank you. I'm also looking for a place to dine. I would like an expensive restaurant in the centre of town.",default
Do you have anything that serves modern european food?,default
Okay that sounds good. How about reserving a table for me for 18:15 for one person on Wednesday.,default
No thank you that will be all,default
I'm interested in rooms for the night where you can get free wifi.,default
"I'm looking for something in a moderate price range, but it must have at least a 4 star rating.",default
I don't have a preference for the area.,default
that will be nice. get me the reference numbers,default
Please book for Sunday for 3 nights and 6 people.,default
"No, I need it for those days. Can you try different hotel?",default
Sounds good. Can you try and book that one please.,default
Can we try for just 2 nights then?,default
"nope, that's all I need thank you!",default
"Hi, I am looking for a train that leaves on Tuesday after 18:15.",default
It should leave from Cambridge and go to Leicester please.,default
I do not have an arrival time.,default
Yes. I would like to book it for 6 people please.,default
"Yes I also need a guesthouse to stay in. It should have 4 stars, free wifi, in the east location.",default
No it doesn't matter.,default
Sounds good. I need it for 5 nights for 6 people starting from Thursday.,default
"No, thanks. That's all I needed. Goodbye.",default
I need to find the lensfield hotel.,default
"Book it for 7 people, 3 nights, starting sunday. Give me the reference number.",default
"No, that's everything. Thank you so much for your help. Have a great day!",default
I'm looking to go somewhere in the centre to enjoy some entertainment. Can you help?,default
"No museums, what colleges are there around town?",default
"can i please get the phone number, postcode and entrance fee?",default
I also need a train that leaves on Monday and arrives by 14:15.,default
I am leaving Ely and going to Cambridge.,default
Can you book 4 tickets?,default
"Ok, thank you. That' all the information I need today!",default
Thank for your help. good bye.,default
Please help me find a hotel called Flinches Bed and Breakfast. Thanks.,default
"Thanks. I'd like to book a room for 6 people, for two nights on thursday.",default
We will also need to catch a train that is going to Cambridge. Any trains that will put us in Cambridge by 12:00?,default
I'll be departing from leicester on Thursday.,default
How about train stations near leicester?,default
No. thank you. Goodbye.,default
I need a train going to bishops stortford.,default
"Yes, that's why I'm requesting help from Cambridge TownInfo.",default
I will be traveling on Sunday.,default
I would like to arrive by 10:00.,default
What is the price?,default
Yes book it and I need a reference number please,default
"I am looking for a theatre in the east, any one's you recommend?",default
"Ok, how about a park in the east?",default
"Thank you so much, that is everything I need.",default
I think it might be a good time to end the conversation. I've got to go. Goodbye.,default
I need a taxi today. I'll want to leave after 05:30,default
"Oh I'm sorry, I need to be picked up at the lensfield hotel, heading to don pasquale pizzeria.",default
"Great, thanks for your help!",default
I'm looking for a place to stay during my upcoming trip to Cambridge.,default
it should be located in the west and should be cheap.,default
"Actually, I'm sorry. I said I wanted something cheap, but I'm actually thinking I want something expensive instead.",default
Can you book it please?,default
Book a 4 night stay starting Saturday for 5 people,default
Yes. I am also looking for a concert hall to visit in the east.,default
How about an entertainment place in the east?,default
give me information on cherry hinton hall and grounds,default
"That is very helpful, thanks. That's all I need for today.",default
I'd like a taxi to take me to ruskin gallery,default
I will depart from saffron brasserie at 7:15. What is the car type and contact number so I know who and where you will pick me up?,default
"That is all I needed, thank you.",default
"Hello, I'd like some information on a restaurant today.",default
Let's try international food.,default
Moderately priced in centre. I would like to book a table for 2 at 18:45 on Sunday,default
Can you book a table for me?,default
I am also looking for a train that day,default
I will leave London Liverpool Street and go to Cambridge.,default
I need to arrive by 9:15. I will also need tickets for 2.,default
thank you very much.,default
That is all I needed thank you for your time.,default
Can you find me an expensive place serves panasian food?,default
Are there restaurants that serve Mediterranean food?,default
I am interested in La Mimosa. Please book a table for 7 at 15:15 on Wednesday. Thanks for your help!,default
"No, that's it. Thank you so much. Good-bye.",default
Are there any hotels with a star of 4 I can stay at?,default
"Yes, are there any in the moderate price range?",default
Don't care. I am looking for free parking at the hotel though. Which ones have that?,default
Just pick one of the hotels. I just want a guesthouse.,default
"Yes, please. I also need a train on Tuesday.",default
"Tuesday after 08:00, please. Leaving Cambridge for Birmingham New Street.",default
Okay. I need to book that for one person. Please let me know the reference number.,default
that should be all. thank you.,default
"Yes, I am looking for a place to stay in the south that has free parking.",default
"No, but I need free wifi, too.",default
A hotel please. I would like to book it for 6 people for 5 nights starting Friday. I will need a reference number too.,default
"That's all I need, thanks. Bye.",default
I am looking for somewhere in South Cambridge with multiple sports attractions.,default
Okay. Can you search for some entertainment in the south part of town?,default
I would like Nusha. Can you give me the phone number and address for Nusha?,default
I also need an Irish restaurant that is expensive.,default
The area doesn't matter.,default
how about one that serves mediterranean food.,default
That sounds great! Can you check and see if we can get a reservation on Sunday at 11:15?,default
I'll need a table for 3 people please.,default
"That will be all today, thank you.",default
"I'm looking for a train that leaves on tuesday to cambridge, please.",default
I want to depart from Stevenage and would like to arrive in Cambridge by 16:30.,default
I don't care about departure time as long as I get there before 16:30.,default
"Yes, I think that will work. Can I get the price and departure time for that train?",default
No thanks. No booking for today. Can you help me find a place to stay.. a hotel maybe?,default
"Yes, a hotel preferably with free parking.",default
"I don't care about the location, but I would like to be in the moderate price range.",default
Please book Ashley for 7 people and 4 nights.,default
"tuesday, get me the reference number please.",default
Yes please try the Lovell Lodge.,default
Can we try three nights?,default
No that is all the help I need. Goodbye!,default
"Hi, you can help me find a cheap restaurant on the East",default
Sounds great! please book it for 2 people at 18:15 on monday,default
I also need a train on Tuesday.,default
I will be departing Cambridge and going to stansted Airport.,default
I want the train to leave after 08:30,default
That should be perfect. Can I get reservations for 2?,default
Perfect!! Thank you so much.,default
"Hi, Are there any expensive Indian restaurants in town?",default
I would prefer a restaurant in the west side of town.,default
"Actually, I just need the number and address.",default
"No, that'll be all for today. Thanks a lot. Bye!",default
Can you find an attraction in the centre?,default
Not really. I just want to see some local tourist attractions in the centre.,default
I am also looking for a place to dine. The restaurant should serve turkish food and should be in the expensive price range,default
"Yes, that will work perfect. I will go ahead and contact them myself though. Thanks so much. Take care. Goodbye!",default
I also need to book the restaurant.,default
I would like to dine on Tuesday and need a table for 7 people at 13:45.,default
"No, as long as the Meze Bar Restaurant is in the centre area, that is perfect. Thank you.",default
"Hi, can you help me plan my Cambridge trip? I need a train from London Kings Cross to Cambridge.",default
"Actually, I need to leave Tuesday after 10:30.",default
"Yes, please make a reservation for 6 people. I'll need the reference number.",default
I'm also looking for a place to eat. I would like an expensive south indian restaurant.,default
"Hmm, are you sure? I want something south indian, expensive and in the centre of town.",default
What about one that serves mediterranean?,default
You said you have two options. What is the other option available?,default
Lets go with the Shiraz please,default
No. I think I am ok although I would like the postcode.,default
"No, that is all. Thank you so much.",default
I don't need anything else. You were a great help. Goodbye!,default
"I am looking for a train that leaves on Wednesday, going to Bishops Stortford.",default
That's pretty early. Would there be a later train that arrives by 15:00?,default
No. How long will the train take?,default
Thanks. I also need a particular hotel. Its name is ashley hotel,default
"Yes. Book for 5 people, 5 nights starting on Friday.",default
That is all. Thanks!,default
I'm looking for a restaurant called nandos. Are you aware of it?,default
Are you sure that they have two locations? Can you tell me their address(es)?,default
"Yes, I'm also looking for a hotel - the cambridge belfry?",default
Yes their postcode and whether they have free parking or not.,default
You didn't answer my question. I need the postcode for The Cambridge Belfry and I need to know if they have free parking or not.,default
"Okay, That is all I need ton know.",default
What is their price range?,default
"cool, that's all i need thanks",default
No. I think that is all. I think you were a lot of help. Bye.,default
I'm looking for a place to stay in Cambridge.,default
"I'd like a moderately priced hotel in the south, with free wifi.",default
You just gave me the address. Does it have free parking?,default
I'm looking for a chinese restaurant as well. Is there anything near the hotel?,default
I really need that to be in the south.,default
The lucky star would be just fine. I need the postcode please.,default
"Thanks. Yes, I will need a taxi from the hotel to the lucky star restaurant.",default
I'm not sure I just need to leave the hotel by 17:00.,default
"Thanks for all of your help, I'm all set now. Bye.",default
I'm looking for some architecture in the west,default
Do you have any attractions in the type of a museum then in the west area?,default
"Yes, can you tell me about the kettle's yard? What is the address and entrance fee?",default
"Great, could I also find a moderately-priced Brazilian restaurant?",default
"Well, let's give Chinese food a try!",default
Nope can you choose one for me and book a table for 8 at 11:45 on Saturday?,default
Can I have the reference number?,default
That is perfect. Thank you. I think that will be everything today.,default
I am looking for a place to stay. The hotel should be in the type of guesthouse and should include free parking,default
The hotel should have a star of 3 and should be in the south.,default
"Sure, please book it for 8 people for 3 nights starting on monday",default
advice me on another booking duration,default
Are you sure that didn't work? 8 people and 3 nights starting from monday?,default
"Thanks, that's all. good bye.",default
"I'm looking to book lodging for a place to stay, it should be a guesthouse and have free wifi.",default
I would like one in Caimbridge that is in the cheap price range.,default
"The El Shaddi is fine. Can I please have a room for 4 people, for 4 nights, starting from Monday?",default
"Yes, please help me find a train? I need to travel on Friday, and I need to arrive at my destination by 21:15, please.",default
I am leaving from Cambridge and going to Stansted Airport.,default
"No, but if you can't decide, maybe pick the one that departs the latest and still gets us their by 21:15.",default
"Yes, please book that train for 4 people.",default
Wonderful. Thank you for your help today.,default
"Yes, I'd like to find a cheap hotel in Cambridge for Monday.",default
"On second thought, I'd like a moderately priced guest house.",default
"I need wifi, and free parking, if possible.",default
That sounds great. Can you book it for Wednesday for 5 nights?,default
I need it starting on Wednesday for 6 people.,default
"Yes, lets try for 4 nights",default
Can you also find me a train? I need it departing from bishops stortford.,default
Going to cambridge and leaving anytime after 12:30,default
"Yes, please, for 1 person. Could I get a price?",default
Are there trains to Cambridge on Sunday?,default
leaving cambridge on sunday,default
I would like to go from Ely to Cambridge and arrive by 8:00.,default
"I would like to book the 7:35 please, also give me the train ID? And will I be close to Yu Garden?",default
"I am also looking for a restaurant called yu garden, I need you to book it foe 2 peopleat 13:30 for Sunday.I need the reference number please.thank you",default
I'm also looking for a restaurant.,default
"No i'm sorry, I was mistaken, thank you, that is all",default
"Hi, can you help me find a restaurant in the centre area?",default
I'm in the mood for italian food. Which is your favorite?,default
Great. Can you book a table for 1 on Saturday at 12:45?,default
"Terrific! You are great, please send me all this information to my e-mail, thanks.",default
No I have everything I wanted to know. Thanks very much.,default
Thanks. I will.,default
Would you help me book a train today?,default
to broxbourne on Wednesday. I would like to leave after 13:30.,default
That sounds just perfect. Can you book us 5 seats on that train?,default
Can you give me the reference number please?,default
"Yes, I need a place to stay in, preferably something moderately priced.",default
"I would like to stay in the east. I prefer a hotel, if possible.",default
yes. could you provide the postcode and star of the hotel.,default
thanks. i've got all i need. take care. bye.,default
"Hi, I am trying to plan my trip and could use some help with a particular restaurant.",default
It's called Cambridge Lodge Restaurant.,default
Yes I would like reservations for 2 people at 13:45 on monday.,default
I am also looking for places to visit on the north side of town.,default
Would you just recommend one and let me know what type it is please?,default
Just tell me the attraction type please,default
That is all for now. Thank you for all your help.,default
Can you find a place to eat in the cheap price range?,default
I'm craving some international food. Can you point me in the right direction? I'm looking to eat somewhere in the east area of town.,default
Yes. please book me a table for friday at 13:00 for 6 people.,default
Thank you! Could you also find an architectural attraction near the restaurant?,default
Are there any multiple sports attractions in the same area?,default
"Give me the address, please.",default
Can you book me a taxi to get from Cherry Hinton to the restaurant?,default
Could you book a taxi at 12:30?,default
Thank you very much! That will be all!,default
I need a train to Peterborough that will be there no later than 17:15.,default
I am looking for a train arriving in Peterborough.,default
I'll be leaving Cambridge on Sunday.,default
"Yes, that will be fine can you get me a ticket?",default
I need 7 tickets.,default
I am also looking for a place to stay.,default
"I'd like something moderately-priced, 3-stars, and in the north. And I do need wifi.",default
"No, but could you book a room on Tuesday for me please?",default
"7 5 nights starting from tuesday, need the reference number too please",default
that is it for today,default
"I would like to book a taxi to Royal Standard, leaving after 03:30",default
"I will be going to the Royal standard, leaving from the Tenpin.",default
"No, that'll be it. Thank you.",default
"My friends and I are into the club scene, what nightclubs are in Cambridge?",default
You can chose for me but I need a entrance fee.,default
I am also looking for a train to go between Ely and Cambridge.,default
"On Monday, please and I'd like to arrive by 15:00, please.",default
I like to arrive at 15:00. Thanks,default
"Yes, please. I need to book train tickets for five people, please. May I have the reference number of the booking?",default
No thanks. You did everything and were so helpful. I appreciate it. Have a good day. Goodbye.,default
"I need to find information about a certain restaurant, can you help with that?",default
It is called maharajah tandoori restaurant.,default
Can you book a table for 7 people at 12:30 on tuesday?,default
Any interesting boats on the east side of town?,default
Can i get the phone number and postcodes for those? Thank you.,default
No. You have quickly answered all my questions. Thank you so much. Good bye.,default
"Yeah, I'm looking for an entertaining tourist attraction, can point me in the direction of some places to check out?",default
"No preference, please just pick one and give me the postcode and address.",default
What area is the Funky Fun House located?,default
I am also looking for a restaurant that's moderately priced and serves british food.,default
Let's try making at booking at the one in the west.,default
We'll need the reservation for Friday at 19:30. What's the name of the restaurant in the West?,default
There will be 7 of us. Can you please give me the reference number as well?,default
Thank you. Now I need to arrange a taxi to take me from Funky Fun House to dinner at Saint John's.,default
Thank you so much. That's all I need for tonight. Take care. Goodbye.,default
"Hi, can you give me some information on a place to stay when I arrive in Cambridge next week?",default
Not worried about the price but I would like a guesthouse in the east with free wifi.,default
"Yes, and may you please book a room in the hotel for 4 nights? It's for one person.",default
"I will be arriving on Monday, I will need the reference number please.",default
"I'm also looking for some places to go in the same area as the hotel. Can you make some suggestions? I need the address, postcode, and entrance fee if any.",default
"How about some restaurants, and I want to book a taxi so that I can travel from place to place.",default
"Sorry, I'm looking for an attraction.",default
do they have ample parking?,default
"That's fine, uh... I want to book a taxi so that I can travel from the guest house to the museum.",default
I would like to leave the museum by 23:15 to head back to the guesthouse.,default
Great thank you. Yes that is correct.,default
No that will be all for now. Thank you.,default
I was wondering if you could help me find a hotel in the south part of town.,default
The hotel should be in the cheap price range and should have a star of 4 with free wifi.,default
Is that a hotel or a guesthouse?,default
Actually first I would like you to help me find a train that goes between Peterborough and Cambridge on Saturday.,default
I'd like to arrive by 20:45 if possible.,default
"I am not looking to make a booking, I just want to know what the travel time is.",default
That is all I need. Thank you.,default
"Hi there, I'm looking for a place to eat that serves Indian food in the city centre. Do you have any good recommendations?",default
"No particular price range, but I do need a restaurant that is available to book 7 people on Friday at 19:15. I also need a reference number.",default
No thank you. I do need to book a train departing from Cambridge though.,default
I would like to leave on Saturday and go to Ely.,default
I would like to leave after 17:15.,default
That would be fine. I need you to book seats on that train for 7 people.,default
"That's all I needed, thank you.",default
Can you find a restaurant the serves gastropub food and is on the east side?,default
Yes I would like you to provide me the address and phone number of that restaurant.,default
Can I book a reservation for 7 at 13:00 this Friday?,default
"Yes, I am also looking for a hotel called gonville hotel.",default
"Yes please, we will check in after we eat at the Royal Standard and stay for five nights.",default
"No, I think I'm all set. Thank you for your help!",default
Please find a restaurant in the north that serves unusual food.,default
No thank you that will be all,default
How about a Chinese restaurant?,default
Can you recommend one of those?,default
Yes could you give me their postcode?,default
What price range is that in?,default
Are there any swimming pools in the same area as the restaurant?,default
"Yes, that sounds great can you send me all the info.",default
"Yes, I am going to need a taxi for transport fro the restaurant by 04:00 please.",default
Awesome. Nothing further.,default
Thank you. Goodbye.,default
Find me a restaurant called cocum,default
could tou please help me book a table for 6 people at 11:00 on tuesday,default
I would like to get a train as well.,default
We will be departing from Broxbourne on Tuesday to arrive by 8:15 in Cambridge.,default
"Yes, please select one and book it for 6 people. I'll need the reference number.",default
"Thanks, that's it for me. Bye bye!",default
"Hi, are there any trains from cambridge to kings lynn?",default
I need to leave on friday and arrive by 16:45,default
"Yes, I'd like eight tickets, please.",default
Yes I need to find a nice expensive British restaurant please.,default
The area does not matter. They just need to have an available table for 8 people at 10:45 on Friday night.,default
Is 9:45 an available time?,default
I would like to book a table at 9:45.,default
Yes. I would like a reservation on Friday at 10:45 for 8 people.,default
how about 8:45 on Friday?,default
"Let is try again, 9:45, expensive British food, a group of eight on Friday.",default
Is there anything available for 8 people on friday at 9:45?,default
Keep trying. I need the reference number.,default
"No that's it, thank you very much.",default
I need a restaurant in the centre that serves asian oriental food.,default
I need something in the cheap price range.,default
Sounds great! Please book a table for Sunday at 16:00 for 6 people.,default
Thanks for all your help!,default
"Yes, actually. I'd like to find a guesthouse with free wifi.",default
It does not matter but please find a guesthouse in the expensive range and include free parking.,default
"Actually, how about a cheap one?",default
In the centre.,default
Great! What is their postcode?,default
No thank you that will be all,default
That is all I needed.,default
I would like to find a hotel that has free wifi.,default
I do not have a specific area or price.,default
Will it fit 8 people?,default
i want to book it for 8 people and 5 nights starting from wednesday.,default
I am also looking for a place to dine.,default
I want a Chinese restaurant in the south,default
Tell me the postcode for the cheap restaurant,default
"Okay thanks, thats all i need.",default
I need a train leaving King's Lynn after 13:45.,default
This will be for wednesday.,default
No that won't be necessary. Can you just tell me what the arrival time is?,default
"I can leave any time after 13:45 going to Cambridge. Will you check the schedule again, please?",default
"Just the first departure after 13:45 please, no booking, just the price and arrival time.",default
I also need to find a place to stay.,default
It doesnt matter. I just want it to be a cheap guesthouse with wifi included.,default
No I just need the phone number. Thanks,default
That's all for now. Thank you,default
Hi. Can you help me find a train?,default
I want to depart from leicester and go to cambridge. I also want to leave on saturday,default
I need to leave after 13:45. Can you help find something?,default
"Yes that will be fine, can you book me a seat for 2 people and give me the reference number?",default
"Actually, I could use some help finding an expensive restaurant in the west part of town.",default
"I would like european, please",default
I just need the address please.,default
Thank you for the address. That is all the help I need today.,default
I am looking for a mexican restaurant in the centre.,default
How about an Indian restaurant then?,default
"Oh, no, but I do need the postcode address and number.",default
"No really, I don't need a booking.",default
That's everything I wanted to find out thanks.,default
"Yes, I am looking for theatres to go to in town.",default
Can you give me some info on the one in the south?,default
Thanks! I'm also looking for an expensive hotel. Can you help?,default
"Yes, it should have free wifi.",default
That isn't really important for me. Please recommend one and book it for six people.,default
Starting Saturday. I need 5 nights for 6 people by the way.,default
Yes I would also like a taxi to commute between the two places.,default
"I'm going to need a taxi at the hotel first, I'll be leaving the hotel at 19:45.",default
Great! That should be all I need. Thank you for your help.,default
"Hi, I am traveling to Cambridge and could use some help for sure. I am so excited to see some local tourist attractions.",default
I'm looking for a hotel called cityroomz.,default
Can you please book a room for 4 people for 2 nights starting on wednesday?,default
Thanks. I am also looking for places to go in town. Perhaps an attraction in the city centre.,default
That sounds perfect. Thanks!,default
No thanks. That's all I need. Goodbye.,default
I need to find a place to eat in Centre.,default
moderate and British please.,default
Great! Can I book a table for one at 13:45 on Thursday?,default
Yes. I am also looking for a train departing from cambridge.,default
My destination is kings lynn and I need to arrive by 18:15.,default
What's the last train that gets to Kings Lynn by 18:15 Friday?,default
What time does that train depart?,default
Perfect. Please book that train for one person.,default
"I actually didn't need that booked just yet, but that will probably save me some time, so thanks! That's all I needed.",default
I'm looking for a place to dine that serves British food. It should be in the moderate price range.,default
The Oak Bistro sounds fabulous. Can I get a table there on Sunday at 18:30? There will be 6 of us.,default
That's great. I think that's all I need.,default
"Yes, I am looking for a place to dine. I would prefer the city centre and am looking for halal food.",default
Ok. Is there an Indian restaurant in the centre area.,default
I don't have a price range. Can you just recommend one of the five restaurants and tell me the postcode and the price range,default
What is the post code for the expensive restaurant Panahar?,default
I'd like some information on theatre's in town.,default
"Yes, and i would also need a taxi to leave by 1:00.",default
I need the taxi to pick me up at the theatre. But I suppose we should figure out exactly which theatre that is. You mentioned one in the centre?,default
How about Cambridge Arts?,default
"I would be going from Cambridge Arts to Panahar, leaving by 1:00. Can you please provide the postcode and phone number of Cambridge Arts as well?",default
"Great, I just need the taxi and I will be all set.",default
"OK, thank you for your help.",default
"Thanks, that's all I need, goodbye!",default
"I need to take a train from cambridge, I need to arrive at my destination by 17:00/",default
I would like to leave on Saturday.,default
I need to get to Norwich please.,default
"That cuts it a little close but it will do. I don't need it booked, though. Can you also find me a place to get some food?",default
"I would like an indian restaurant in the centre, please.",default
"Whichever ever one has 11:00 for two people on the same day available, that one would be fine.",default
No that will be all. Thanks for your help!,default
I'm looking for a places to stay in south Cambridge that offer free parking for guests.,default
"Yes, the south of town preferably. And a moderate price range.",default
Yes that's what we need. Can you book a hotel for 3 people starting Friday? We intend to stay 5 nights by the way.,default
And is there anything for parking?,default
"ok, i need places to go around town.",default
The same as the hotel please,default
"No, thanks. I'm thinking I want to visit a college.",default
How about something that is an entertainment venue in that area?,default
That would work whats the postcode?,default
Have a nice day.,default
No that is it. Thank you.,default
"I need a train to Norwich, from Cambridge.",default
On Tuesday. I need to get into Norwich by 15:00.,default
No thanks. I don't want to book today. But can you tell me what time that train departs?,default
"Thank you, I also need to find a place to stay. I would prefer a guesthouse.",default
Yes the cheap price range,default
"Yes, I prefer one located to the west. I don't care of how many stars it has.",default
"Okay, then book a room for 4 people and 5 nights on Thursday.",default
"No, that was everything I needed help with, thank you.",default
I would like to try saigon city.,default
5 people on a Wednesday at 19:45.,default
Thank you for help. That's everything I needed.,default
"Hello, I would like to find a hotel that includes free parking.",default
Yes. The centre would be nice and also free wifi.,default
Please book me some rooms for The University Arms to accommodate 8 people for 3 nights starting on wednesday. Can you also provide me the reference number after you book?,default
Thank you. Can you please help me find a place to go in town in the same area as the hotel? Preferably a college.,default
I believe there are some colleges in the centre of town. Can you please check again?,default
"Hmmm, I was looking for the phone number and postcode of a college in the centre area. Could you help me with that?",default
I'm looking for cambridge.,default
"Oh, it could be anyone then. Just a college.",default
"Could you give me their phone number, postcode, and entrance fee?",default
"Thank you very much. That's all I need today, bye.",default
